Route,Direction,StopOrder,StopID,PercentDone
122_OB_EXTRA,OB,1,4525,0.0
122_OB_EXTRA,OB,2,4526,1.42
122_OB_EXTRA,OB,3,1700,5.11
122_OB_EXTRA,OB,4,1701,6.44
122_OB_EXTRA,OB,5,1702,7.36
122_OB_EXTRA,OB,6,16,9.22
122_OB_EXTRA,OB,7,73,10.72
122_OB_EXTRA,OB,8,74,12.61
122_OB_EXTRA,OB,9,4371,14.75
122_OB_EXTRA,OB,10,832,16.0
122_OB_EXTRA,OB,11,833,17.03
122_OB_EXTRA,OB,12,77,18.68
122_OB_EXTRA,OB,13,78,20.57
122_OB_EXTRA,OB,14,79,22.17
122_OB_EXTRA,OB,15,80,23.77
122_OB_EXTRA,OB,16,82,26.98
122_OB_EXTRA,OB,17,83,29.45
122_OB_EXTRA,OB,18,84,30.48
122_OB_EXTRA,OB,19,51,35.65
122_OB_EXTRA,OB,20,52,37.38
122_OB_EXTRA,OB,21,263,40.26
122_OB_EXTRA,OB,22,271,44.89
122_OB_EXTRA,OB,23,1278,54.35
122_OB_EXTRA,OB,24,1282,58.03
122_OB_EXTRA,OB,25,4456,60.83
122_OB_EXTRA,OB,26,1284,62.42
122_OB_EXTRA,OB,27,1285,65.62
122_OB_EXTRA,OB,28,1286,70.19
122_OB_EXTRA,OB,29,1288,72.16
122_OB_EXTRA,OB,30,1289,73.21
122_OB_EXTRA,OB,31,1360,75.82
122_OB_EXTRA,OB,32,1362,77.12
122_OB_EXTRA,OB,33,1363,79.13
122_OB_EXTRA,OB,34,1364,80.04
122_OB_EXTRA,OB,35,1365,80.84
122_OB_EXTRA,OB,36,1366,83.32
122_OB_EXTRA,OB,37,1367,84.16
122_OB_EXTRA,OB,38,7455,85.85
122_OB_EXTRA,OB,39,7438,87.81
122_OB_EXTRA,OB,40,1410,88.96
122_OB_EXTRA,OB,41,1411,89.91
122_OB_EXTRA,OB,42,1412,90.94
122_OB_EXTRA,OB,43,1413,91.94
122_OB_EXTRA,OB,44,1414,92.88
122_OB_EXTRA,OB,45,1415,94.12
122_OB_EXTRA,OB,46,1417,95.37
122_OB_EXTRA,OB,47,1418,96.59
122_OB_EXTRA,OB,48,5149,97.7
122_OB_EXTRA,OB,49,1419,98.51
122_OB_EXTRA,OB,50,6094,100.0
142_OB_EXTRA,OB,1,3605,0.0
142_OB_EXTRA,OB,2,3606,0.86
142_OB_EXTRA,OB,3,3607,2.0
142_OB_EXTRA,OB,4,6051,2.62
142_OB_EXTRA,OB,5,6053,3.42
142_OB_EXTRA,OB,6,7327,4.09
142_OB_EXTRA,OB,7,3629,4.81
142_OB_EXTRA,OB,8,3630,5.47
142_OB_EXTRA,OB,9,3631,6.48
142_OB_EXTRA,OB,10,3632,7.33
142_OB_EXTRA,OB,11,3633,8.14
142_OB_EXTRA,OB,12,3634,9.28
142_OB_EXTRA,OB,13,3635,10.37
142_OB_EXTRA,OB,14,3636,10.56
142_OB_EXTRA,OB,15,905,11.69
142_OB_EXTRA,OB,16,4331,14.11
142_OB_EXTRA,OB,17,4339,16.09
142_OB_EXTRA,OB,18,6010,20.25
142_OB_EXTRA,OB,19,3656,22.83
142_OB_EXTRA,OB,20,7194,24.13
142_OB_EXTRA,OB,21,7196,25.98
142_OB_EXTRA,OB,22,6310,27.51
142_OB_EXTRA,OB,23,6311,28.3
142_OB_EXTRA,OB,24,7399,43.75
142_OB_EXTRA,OB,25,7398,48.06
142_OB_EXTRA,OB,26,7397,51.99
142_OB_EXTRA,OB,27,6252,53.2
142_OB_EXTRA,OB,28,301,57.11
142_OB_EXTRA,OB,29,336,61.93
142_OB_EXTRA,OB,30,7581,68.41
142_OB_EXTRA,OB,31,1283,70.29
142_OB_EXTRA,OB,32,7579,72.39
142_OB_EXTRA,OB,33,1285,75.4
142_OB_EXTRA,OB,34,1016,78.8
142_OB_EXTRA,OB,35,1017,79.82
142_OB_EXTRA,OB,36,1018,80.63
142_OB_EXTRA,OB,37,1019,81.22
142_OB_EXTRA,OB,38,1020,81.8
142_OB_EXTRA,OB,39,1076,82.66
142_OB_EXTRA,OB,40,1021,83.76
142_OB_EXTRA,OB,41,6042,84.38
142_OB_EXTRA,OB,42,1022,84.62
142_OB_EXTRA,OB,43,1023,85.38
142_OB_EXTRA,OB,44,1024,85.84
142_OB_EXTRA,OB,45,895,86.82
142_OB_EXTRA,OB,46,1025,88.65
142_OB_EXTRA,OB,47,1026,90.08
142_OB_EXTRA,OB,48,1027,90.65
142_OB_EXTRA,OB,49,1028,91.09
142_OB_EXTRA,OB,50,2818,94.46
142_OB_EXTRA,OB,51,2819,95.17
142_OB_EXTRA,OB,52,3012,95.63
142_OB_EXTRA,OB,53,877,100.0
16C_OB_EXTRA,OB,1,208,0.0
16C_OB_EXTRA,OB,2,209,4.89
16C_OB_EXTRA,OB,3,210,8.58
16C_OB_EXTRA,OB,4,211,15.54
16C_OB_EXTRA,OB,5,212,19.72
16C_OB_EXTRA,OB,6,213,27.24
16C_OB_EXTRA,OB,7,214,32.65
16C_OB_EXTRA,OB,8,4432,35.22
16C_OB_EXTRA,OB,9,119,40.73
16C_OB_EXTRA,OB,10,44,44.16
16C_OB_EXTRA,OB,11,7603,46.91
16C_OB_EXTRA,OB,12,45,50.05
16C_OB_EXTRA,OB,13,46,55.79
16C_OB_EXTRA,OB,14,47,60.35
16C_OB_EXTRA,OB,15,48,64.64
16C_OB_EXTRA,OB,16,49,72.03
16C_OB_EXTRA,OB,17,51,79.13
16C_OB_EXTRA,OB,18,52,83.52
16C_OB_EXTRA,OB,19,262,90.2
16C_OB_EXTRA,OB,20,270,100.0
17A_OB_EXTRA,OB,1,4747,0.0
17A_OB_EXTRA,OB,2,7298,8.0
17A_OB_EXTRA,OB,3,2294,10.53
17A_OB_EXTRA,OB,4,6039,12.2
17A_OB_EXTRA,OB,5,1816,13.12
17A_OB_EXTRA,OB,6,6171,14.54
17A_OB_EXTRA,OB,7,4974,16.06
17A_OB_EXTRA,OB,8,4976,17.17
17A_OB_EXTRA,OB,9,2510,19.02
17A_OB_EXTRA,OB,10,7242,20.3
17A_OB_EXTRA,OB,11,7238,20.95
17A_OB_EXTRA,OB,12,7224,21.83
17A_OB_EXTRA,OB,13,1581,22.43
17A_OB_EXTRA,OB,14,4793,25.12
17A_OB_EXTRA,OB,15,6068,26.78
17A_OB_EXTRA,OB,16,1584,27.4
17A_OB_EXTRA,OB,17,983,29.57
17A_OB_EXTRA,OB,18,984,31.2
17A_OB_EXTRA,OB,19,985,32.07
17A_OB_EXTRA,OB,20,987,33.57
17A_OB_EXTRA,OB,21,988,36.13
17A_OB_EXTRA,OB,22,138,37.47
17A_OB_EXTRA,OB,23,139,38.79
17A_OB_EXTRA,OB,24,140,39.88
17A_OB_EXTRA,OB,25,141,40.89
17A_OB_EXTRA,OB,26,142,41.75
17A_OB_EXTRA,OB,27,143,42.73
17A_OB_EXTRA,OB,28,92,46.06
17A_OB_EXTRA,OB,29,93,47.18
17A_OB_EXTRA,OB,30,94,49.06
17A_OB_EXTRA,OB,31,126,51.32
17A_OB_EXTRA,OB,32,989,53.64
17A_OB_EXTRA,OB,33,6009,55.36
17A_OB_EXTRA,OB,34,990,56.95
17A_OB_EXTRA,OB,35,991,58.34
17A_OB_EXTRA,OB,36,992,62.68
17A_OB_EXTRA,OB,37,7044,64.81
17A_OB_EXTRA,OB,38,993,65.68
17A_OB_EXTRA,OB,39,5060,67.79
17A_OB_EXTRA,OB,40,5061,68.6
17A_OB_EXTRA,OB,41,1235,69.16
17A_OB_EXTRA,OB,42,1251,70.23
17A_OB_EXTRA,OB,43,253,73.7
17A_OB_EXTRA,OB,44,7130,77.0
17A_OB_EXTRA,OB,45,1237,77.5
17A_OB_EXTRA,OB,46,1253,79.64
17A_OB_EXTRA,OB,47,997,81.98
17A_OB_EXTRA,OB,48,998,82.76
17A_OB_EXTRA,OB,49,999,83.6
17A_OB_EXTRA,OB,50,1000,84.76
17A_OB_EXTRA,OB,51,1001,85.57
17A_OB_EXTRA,OB,52,1002,88.14
17A_OB_EXTRA,OB,53,1003,89.74
17A_OB_EXTRA,OB,54,1004,91.15
17A_OB_EXTRA,OB,55,1005,92.09
17A_OB_EXTRA,OB,56,1006,93.37
17A_OB_EXTRA,OB,57,1007,94.21
17A_OB_EXTRA,OB,58,1008,95.99
17A_OB_EXTRA,OB,59,1009,96.76
17A_OB_EXTRA,OB,60,1010,97.77
17A_OB_EXTRA,OB,61,1012,100.0
17_OB_EXTRA,OB,1,1380,0.0
17_OB_EXTRA,OB,2,1381,0.59
17_OB_EXTRA,OB,3,1406,2.9
17_OB_EXTRA,OB,4,1407,4.72
17_OB_EXTRA,OB,5,1409,6.02
17_OB_EXTRA,OB,6,3353,7.71
17_OB_EXTRA,OB,7,3354,8.27
17_OB_EXTRA,OB,8,3355,9.58
17_OB_EXTRA,OB,9,3356,10.8
17_OB_EXTRA,OB,10,1400,12.59
17_OB_EXTRA,OB,11,1391,13.04
17_OB_EXTRA,OB,12,3357,14.73
17_OB_EXTRA,OB,13,3358,15.46
17_OB_EXTRA,OB,14,2449,16.63
17_OB_EXTRA,OB,15,2450,17.57
17_OB_EXTRA,OB,16,2451,19.6
17_OB_EXTRA,OB,17,2434,23.3
17_OB_EXTRA,OB,18,2435,25.05
17_OB_EXTRA,OB,19,2436,25.9
17_OB_EXTRA,OB,20,2437,27.78
17_OB_EXTRA,OB,21,1117,30.27
17_OB_EXTRA,OB,22,1118,31.44
17_OB_EXTRA,OB,23,1119,32.12
17_OB_EXTRA,OB,24,1120,33.48
17_OB_EXTRA,OB,25,1299,38.53
17_OB_EXTRA,OB,26,1300,40.51
17_OB_EXTRA,OB,27,1301,42.54
17_OB_EXTRA,OB,28,1302,43.46
17_OB_EXTRA,OB,29,1303,44.63
17_OB_EXTRA,OB,30,1304,45.23
17_OB_EXTRA,OB,31,1305,47.25
17_OB_EXTRA,OB,32,1306,49.42
17_OB_EXTRA,OB,33,1307,50.24
17_OB_EXTRA,OB,34,1308,50.92
17_OB_EXTRA,OB,35,1309,52.24
17_OB_EXTRA,OB,36,1310,54.55
17_OB_EXTRA,OB,37,1311,56.58
17_OB_EXTRA,OB,38,1312,57.54
17_OB_EXTRA,OB,39,1313,58.21
17_OB_EXTRA,OB,40,1055,60.92
17_OB_EXTRA,OB,41,2868,62.82
17_OB_EXTRA,OB,42,2892,65.13
17_OB_EXTRA,OB,43,2893,66.27
17_OB_EXTRA,OB,44,2894,67.68
17_OB_EXTRA,OB,45,2895,68.62
17_OB_EXTRA,OB,46,3012,70.24
17_OB_EXTRA,OB,47,861,73.59
17_OB_EXTRA,OB,48,862,74.65
17_OB_EXTRA,OB,49,863,75.49
17_OB_EXTRA,OB,50,864,76.33
17_OB_EXTRA,OB,51,865,77.04
17_OB_EXTRA,OB,52,866,77.94
17_OB_EXTRA,OB,53,2052,79.19
17_OB_EXTRA,OB,54,2082,80.74
17_OB_EXTRA,OB,55,2083,82.22
17_OB_EXTRA,OB,56,2009,83.87
17_OB_EXTRA,OB,57,2010,85.92
17_OB_EXTRA,OB,58,462,87.39
17_OB_EXTRA,OB,59,464,88.52
17_OB_EXTRA,OB,60,465,89.05
17_OB_EXTRA,OB,61,466,89.91
17_OB_EXTRA,OB,62,467,91.02
17_OB_EXTRA,OB,63,468,91.71
17_OB_EXTRA,OB,64,3032,94.59
17_OB_EXTRA,OB,65,3033,96.35
17_OB_EXTRA,OB,66,3085,100.0
185_OB_EXTRA,OB,1,4167,0.0
185_OB_EXTRA,OB,2,4170,4.6
185_OB_EXTRA,OB,3,4153,11.59
185_OB_EXTRA,OB,4,4154,15.33
185_OB_EXTRA,OB,5,4416,18.87
185_OB_EXTRA,OB,6,4417,21.69
185_OB_EXTRA,OB,7,4419,23.31
185_OB_EXTRA,OB,8,4420,26.23
185_OB_EXTRA,OB,9,4421,29.23
185_OB_EXTRA,OB,10,2113,31.72
185_OB_EXTRA,OB,11,4183,38.01
185_OB_EXTRA,OB,12,4184,38.36
185_OB_EXTRA,OB,13,4185,39.73
185_OB_EXTRA,OB,14,4584,40.59
185_OB_EXTRA,OB,15,4186,43.03
185_OB_EXTRA,OB,16,4187,46.57
185_OB_EXTRA,OB,17,4188,47.92
185_OB_EXTRA,OB,18,4189,58.64
185_OB_EXTRA,OB,19,4190,65.58
185_OB_EXTRA,OB,20,4097,70.27
185_OB_EXTRA,OB,21,4103,86.18
185_OB_EXTRA,OB,22,4104,87.14
185_OB_EXTRA,OB,23,4105,90.13
185_OB_EXTRA,OB,24,4106,90.65
185_OB_EXTRA,OB,25,6139,92.49
185_OB_EXTRA,OB,26,4108,100.0
25X_OB_EXTRA,OB,1,4953,0.0
25X_OB_EXTRA,OB,2,768,3.06
25X_OB_EXTRA,OB,3,769,4.0
25X_OB_EXTRA,OB,4,770,5.3
25X_OB_EXTRA,OB,5,771,5.62
25X_OB_EXTRA,OB,6,772,6.53
25X_OB_EXTRA,OB,7,773,7.58
25X_OB_EXTRA,OB,8,774,8.47
25X_OB_EXTRA,OB,9,775,9.78
25X_OB_EXTRA,OB,10,776,10.96
25X_OB_EXTRA,OB,11,777,11.74
25X_OB_EXTRA,OB,12,779,13.34
25X_OB_EXTRA,OB,13,780,14.08
25X_OB_EXTRA,OB,14,781,14.72
25X_OB_EXTRA,OB,15,782,16.13
25X_OB_EXTRA,OB,16,783,17.71
25X_OB_EXTRA,OB,17,784,18.62
25X_OB_EXTRA,OB,18,785,20.27
25X_OB_EXTRA,OB,19,786,24.92
25X_OB_EXTRA,OB,20,791,28.59
25X_OB_EXTRA,OB,21,7576,30.39
25X_OB_EXTRA,OB,23,7585,34.72
25X_OB_EXTRA,OB,24,7587,38.67
25X_OB_EXTRA,OB,25,345,41.73
25X_OB_EXTRA,OB,26,318,47.89
25X_OB_EXTRA,OB,27,312,52.54
25X_OB_EXTRA,OB,28,1444,55.46
25X_OB_EXTRA,OB,29,1445,57.4
25X_OB_EXTRA,OB,30,4407,59.79
25X_OB_EXTRA,OB,31,2637,62.2
25X_OB_EXTRA,OB,32,2721,66.34
25X_OB_EXTRA,OB,33,7012,67.15
25X_OB_EXTRA,OB,34,2201,73.58
25X_OB_EXTRA,OB,35,4401,75.59
25X_OB_EXTRA,OB,36,2213,79.25
25X_OB_EXTRA,OB,37,2214,80.78
25X_OB_EXTRA,OB,38,2215,82.14
25X_OB_EXTRA,OB,39,2216,83.21
25X_OB_EXTRA,OB,40,4599,84.74
25X_OB_EXTRA,OB,41,2217,86.93
25X_OB_EXTRA,OB,42,2218,88.29
25X_OB_EXTRA,OB,43,2219,89.51
25X_OB_EXTRA,OB,44,3365,90.24
25X_OB_EXTRA,OB,45,3366,91.1
25X_OB_EXTRA,OB,46,3367,93.13
25X_OB_EXTRA,OB,47,3886,95.37
25X_OB_EXTRA,OB,48,3888,97.25
25X_OB_EXTRA,OB,49,3890,100.0
26_OB_EXTRA,OB,1,7391,0.0
26_OB_EXTRA,OB,2,493,6.39
26_OB_EXTRA,OB,3,494,10.47
26_OB_EXTRA,OB,4,495,15.41
26_OB_EXTRA,OB,5,400,18.2
26_OB_EXTRA,OB,6,346,22.53
26_OB_EXTRA,OB,7,317,30.42
26_OB_EXTRA,OB,8,312,38.78
26_OB_EXTRA,OB,9,1444,43.97
26_OB_EXTRA,OB,10,1445,47.82
26_OB_EXTRA,OB,11,7078,57.63
26_OB_EXTRA,OB,12,1449,61.13
26_OB_EXTRA,OB,13,1450,62.69
26_OB_EXTRA,OB,14,1451,63.91
26_OB_EXTRA,OB,15,2191,67.28
26_OB_EXTRA,OB,16,2192,69.0
26_OB_EXTRA,OB,17,2193,70.78
26_OB_EXTRA,OB,18,2194,71.82
26_OB_EXTRA,OB,19,2195,73.87
26_OB_EXTRA,OB,20,2196,75.38
26_OB_EXTRA,OB,21,2197,79.36
26_OB_EXTRA,OB,22,2198,81.66
26_OB_EXTRA,OB,23,2200,83.51
26_OB_EXTRA,OB,24,2201,89.52
26_OB_EXTRA,OB,25,7239,92.0
26_OB_EXTRA,OB,26,4401,93.54
26_OB_EXTRA,OB,27,2202,95.25
26_OB_EXTRA,OB,28,2203,97.37
26_OB_EXTRA,OB,29,2210,100.0
27B_OB_EXTRA,OB,1,300,-0.18
27B_OB_EXTRA,OB,2,7490,4.04
27B_OB_EXTRA,OB,3,497,4.77
27B_OB_EXTRA,OB,4,515,8.94
27B_OB_EXTRA,OB,5,516,11.73
27B_OB_EXTRA,OB,6,4384,13.65
27B_OB_EXTRA,OB,7,519,16.21
27B_OB_EXTRA,OB,8,521,17.79
27B_OB_EXTRA,OB,9,522,19.73
27B_OB_EXTRA,OB,10,7659,20.8
27B_OB_EXTRA,OB,11,523,21.41
27B_OB_EXTRA,OB,12,669,24.04
27B_OB_EXTRA,OB,13,670,26.06
27B_OB_EXTRA,OB,14,671,27.27
27B_OB_EXTRA,OB,15,672,29.18
27B_OB_EXTRA,OB,16,4382,30.39
27B_OB_EXTRA,OB,17,1196,33.94
27B_OB_EXTRA,OB,18,1197,35.56
27B_OB_EXTRA,OB,19,1198,38.45
27B_OB_EXTRA,OB,20,1222,40.96
27B_OB_EXTRA,OB,21,1223,42.26
27B_OB_EXTRA,OB,22,1224,43.51
27B_OB_EXTRA,OB,23,1225,44.89
27B_OB_EXTRA,OB,24,1226,47.38
27B_OB_EXTRA,OB,25,1227,49.31
27B_OB_EXTRA,OB,26,1228,51.86
27B_OB_EXTRA,OB,27,1244,53.26
27B_OB_EXTRA,OB,28,1246,54.91
27B_OB_EXTRA,OB,29,1229,56.49
27B_OB_EXTRA,OB,30,1231,58.78
27B_OB_EXTRA,OB,31,1232,60.02
27B_OB_EXTRA,OB,32,1233,61.22
27B_OB_EXTRA,OB,33,1234,62.52
27B_OB_EXTRA,OB,34,7358,64.49
27B_OB_EXTRA,OB,35,5174,66.8
27B_OB_EXTRA,OB,36,6078,67.91
27B_OB_EXTRA,OB,37,7112,70.81
27B_OB_EXTRA,OB,38,972,73.27
27B_OB_EXTRA,OB,39,1625,79.51
27B_OB_EXTRA,OB,40,1626,81.35
27B_OB_EXTRA,OB,41,1627,83.71
27B_OB_EXTRA,OB,42,1628,85.81
27B_OB_EXTRA,OB,43,1629,87.25
27B_OB_EXTRA,OB,44,6234,98.26
27B_OB_EXTRA,OB,45,332,99.92
32X_OB_EXTRA,OB,1,3640,0.0
32X_OB_EXTRA,OB,2,3574,1.11
32X_OB_EXTRA,OB,3,3641,3.11
32X_OB_EXTRA,OB,4,3642,3.84
32X_OB_EXTRA,OB,5,3643,6.79
32X_OB_EXTRA,OB,6,3583,7.85
32X_OB_EXTRA,OB,7,3584,8.2
32X_OB_EXTRA,OB,8,3585,9.08
32X_OB_EXTRA,OB,9,3587,11.26
32X_OB_EXTRA,OB,10,3588,11.8
32X_OB_EXTRA,OB,11,3589,13.15
32X_OB_EXTRA,OB,12,3605,16.56
32X_OB_EXTRA,OB,13,3606,17.89
32X_OB_EXTRA,OB,14,3607,19.53
32X_OB_EXTRA,OB,15,3608,21.27
32X_OB_EXTRA,OB,16,3609,22.5
32X_OB_EXTRA,OB,17,3598,24.23
32X_OB_EXTRA,OB,18,4465,25.28
32X_OB_EXTRA,OB,19,944,26.11
32X_OB_EXTRA,OB,20,945,26.61
32X_OB_EXTRA,OB,21,947,27.57
32X_OB_EXTRA,OB,22,948,28.0
32X_OB_EXTRA,OB,23,949,28.49
32X_OB_EXTRA,OB,24,928,29.96
32X_OB_EXTRA,OB,25,588,34.51
32X_OB_EXTRA,OB,26,590,35.89
32X_OB_EXTRA,OB,27,1729,43.18
32X_OB_EXTRA,OB,28,1731,44.86
32X_OB_EXTRA,OB,29,1738,50.07
32X_OB_EXTRA,OB,30,614,52.26
32X_OB_EXTRA,OB,31,675,59.18
32X_OB_EXTRA,OB,32,621,63.86
32X_OB_EXTRA,OB,33,6207,69.57
32X_OB_EXTRA,OB,34,333,72.03
32X_OB_EXTRA,OB,35,403,78.56
32X_OB_EXTRA,OB,36,747,81.14
32X_OB_EXTRA,OB,37,842,83.24
32X_OB_EXTRA,OB,38,846,86.34
32X_OB_EXTRA,OB,39,848,88.28
32X_OB_EXTRA,OB,40,759,92.96
32X_OB_EXTRA,OB,41,760,94.04
32X_OB_EXTRA,OB,42,761,94.46
32X_OB_EXTRA,OB,43,762,94.88
32X_OB_EXTRA,OB,44,763,96.41
32X_OB_EXTRA,OB,45,4952,100.0
40D_OB_EXTRA,OB,1,6004,-0.02
40D_OB_EXTRA,OB,2,7,4.71
40D_OB_EXTRA,OB,3,11,11.02
40D_OB_EXTRA,OB,4,14,13.1
40D_OB_EXTRA,OB,5,15,15.57
40D_OB_EXTRA,OB,6,834,18.77
40D_OB_EXTRA,OB,7,835,20.08
40D_OB_EXTRA,OB,8,836,21.07
40D_OB_EXTRA,OB,9,837,21.71
40D_OB_EXTRA,OB,10,1506,25.42
40D_OB_EXTRA,OB,11,1507,27.06
40D_OB_EXTRA,OB,12,1508,28.34
40D_OB_EXTRA,OB,13,1509,30.5
40D_OB_EXTRA,OB,14,1510,32.7
40D_OB_EXTRA,OB,15,1511,33.61
40D_OB_EXTRA,OB,16,1512,35.91
40D_OB_EXTRA,OB,17,1538,38.02
40D_OB_EXTRA,OB,18,4548,40.04
40D_OB_EXTRA,OB,19,1514,42.75
40D_OB_EXTRA,OB,20,980,45.46
40D_OB_EXTRA,OB,21,981,46.55
40D_OB_EXTRA,OB,22,1576,50.7
40D_OB_EXTRA,OB,23,1577,52.04
40D_OB_EXTRA,OB,24,1578,53.1
40D_OB_EXTRA,OB,25,4364,55.84
40D_OB_EXTRA,OB,26,1579,56.72
40D_OB_EXTRA,OB,27,1580,59.57
40D_OB_EXTRA,OB,28,7237,61.13
40D_OB_EXTRA,OB,29,7241,62.33
40D_OB_EXTRA,OB,30,7247,63.26
40D_OB_EXTRA,OB,31,7243,65.15
40D_OB_EXTRA,OB,32,7126,67.99
40D_OB_EXTRA,OB,33,7124,69.89
40D_OB_EXTRA,OB,34,7343,72.74
40D_OB_EXTRA,OB,35,7318,75.89
40D_OB_EXTRA,OB,36,4978,77.33
40D_OB_EXTRA,OB,37,4979,78.73
40D_OB_EXTRA,OB,38,4986,81.95
40D_OB_EXTRA,OB,39,7107,82.95
40D_OB_EXTRA,OB,40,7102,84.43
40D_OB_EXTRA,OB,41,7103,87.52
40D_OB_EXTRA,OB,42,7104,89.79
40D_OB_EXTRA,OB,43,7105,91.74
40D_OB_EXTRA,OB,44,7106,93.05
40D_OB_EXTRA,OB,45,6005,95.1
40D_OB_EXTRA,OB,46,7072,100.05
40_OB_EXTRA,OB,1,7132,0.0
40_OB_EXTRA,OB,2,1558,1.89
40_OB_EXTRA,OB,3,2957,3.41
40_OB_EXTRA,OB,4,2958,3.6
40_OB_EXTRA,OB,5,4938,4.88
40_OB_EXTRA,OB,6,1549,7.98
40_OB_EXTRA,OB,7,1523,8.38
40_OB_EXTRA,OB,8,1524,9.26
40_OB_EXTRA,OB,9,1525,9.96
40_OB_EXTRA,OB,10,1526,10.88
40_OB_EXTRA,OB,11,6080,11.66
40_OB_EXTRA,OB,12,1585,13.18
40_OB_EXTRA,OB,13,1586,14.37
40_OB_EXTRA,OB,14,1587,15.67
40_OB_EXTRA,OB,15,1591,20.7
40_OB_EXTRA,OB,16,4542,22.1
40_OB_EXTRA,OB,17,1531,23.51
40_OB_EXTRA,OB,18,1532,24.4
40_OB_EXTRA,OB,19,1533,25.58
40_OB_EXTRA,OB,20,1534,27.38
40_OB_EXTRA,OB,21,1535,28.49
40_OB_EXTRA,OB,22,1536,29.47
40_OB_EXTRA,OB,23,1537,30.48
40_OB_EXTRA,OB,24,186,32.13
40_OB_EXTRA,OB,25,187,33.55
40_OB_EXTRA,OB,26,188,35.1
40_OB_EXTRA,OB,27,189,36.3
40_OB_EXTRA,OB,28,190,36.9
40_OB_EXTRA,OB,29,192,39.31
40_OB_EXTRA,OB,30,819,39.92
40_OB_EXTRA,OB,31,261,42.33
40_OB_EXTRA,OB,32,270,44.74
40_OB_EXTRA,OB,33,335,48.4
40_OB_EXTRA,OB,34,4521,51.37
40_OB_EXTRA,OB,35,1935,54.75
40_OB_EXTRA,OB,36,1937,56.97
40_OB_EXTRA,OB,37,1938,57.9
40_OB_EXTRA,OB,38,1939,59.1
40_OB_EXTRA,OB,39,1940,60.25
40_OB_EXTRA,OB,40,1941,60.91
40_OB_EXTRA,OB,41,1942,62.14
40_OB_EXTRA,OB,42,1943,63.17
40_OB_EXTRA,OB,43,1944,63.99
40_OB_EXTRA,OB,44,1945,65.52
40_OB_EXTRA,OB,45,1946,66.88
40_OB_EXTRA,OB,46,1947,67.4
40_OB_EXTRA,OB,47,2642,69.7
40_OB_EXTRA,OB,48,2643,70.45
40_OB_EXTRA,OB,49,2644,71.58
40_OB_EXTRA,OB,50,2709,72.61
40_OB_EXTRA,OB,51,2710,73.61
40_OB_EXTRA,OB,52,2711,74.0
40_OB_EXTRA,OB,53,2712,74.72
40_OB_EXTRA,OB,54,2655,76.28
40_OB_EXTRA,OB,55,2656,77.76
40_OB_EXTRA,OB,56,2668,78.76
40_OB_EXTRA,OB,57,2672,79.89
40_OB_EXTRA,OB,58,2673,80.88
40_OB_EXTRA,OB,59,2206,82.03
40_OB_EXTRA,OB,60,4798,82.75
40_OB_EXTRA,OB,61,2674,84.55
40_OB_EXTRA,OB,62,2675,85.6
40_OB_EXTRA,OB,63,2124,86.37
40_OB_EXTRA,OB,64,2125,86.8
40_OB_EXTRA,OB,65,2126,87.54
40_OB_EXTRA,OB,66,2127,88.45
40_OB_EXTRA,OB,67,2128,89.01
40_OB_EXTRA,OB,68,2129,90.3
40_OB_EXTRA,OB,69,4797,91.93
40_OB_EXTRA,OB,70,7473,93.35
40_OB_EXTRA,OB,71,2681,94.48
40_OB_EXTRA,OB,72,4691,94.95
40_OB_EXTRA,OB,73,2682,95.41
40_OB_EXTRA,OB,74,4796,95.86
40_OB_EXTRA,OB,75,4690,96.86
40_OB_EXTRA,OB,76,4411,97.13
40_OB_EXTRA,OB,77,4715,100.0
41X_OB_EXTRA,OB,1,4953,0.0
41X_OB_EXTRA,OB,2,768,2.29
41X_OB_EXTRA,OB,3,769,2.86
41X_OB_EXTRA,OB,4,770,3.78
41X_OB_EXTRA,OB,5,771,4.03
41X_OB_EXTRA,OB,6,772,4.8
41X_OB_EXTRA,OB,7,773,5.35
41X_OB_EXTRA,OB,8,774,5.94
41X_OB_EXTRA,OB,9,775,6.89
41X_OB_EXTRA,OB,10,776,7.92
41X_OB_EXTRA,OB,11,777,8.59
41X_OB_EXTRA,OB,12,906,10.09
41X_OB_EXTRA,OB,13,909,11.86
41X_OB_EXTRA,OB,14,786,13.53
41X_OB_EXTRA,OB,15,790,16.96
41X_OB_EXTRA,OB,16,7576,18.62
41X_OB_EXTRA,OB,18,7585,22.37
41X_OB_EXTRA,OB,19,7587,26.1
41X_OB_EXTRA,OB,20,345,27.63
41X_OB_EXTRA,OB,21,297,36.33
41X_OB_EXTRA,OB,22,407,37.19
41X_OB_EXTRA,OB,23,2498,38.45
41X_OB_EXTRA,OB,24,2499,39.71
41X_OB_EXTRA,OB,25,2500,42.06
41X_OB_EXTRA,OB,26,2501,44.23
41X_OB_EXTRA,OB,27,7623,45.53
41X_OB_EXTRA,OB,28,5030,68.82
41X_OB_EXTRA,OB,29,5031,70.46
41X_OB_EXTRA,OB,30,6033,72.28
41X_OB_EXTRA,OB,31,3089,72.93
41X_OB_EXTRA,OB,32,3090,73.29
41X_OB_EXTRA,OB,33,3706,74.43
41X_OB_EXTRA,OB,34,3707,75.0
41X_OB_EXTRA,OB,35,3708,76.43
41X_OB_EXTRA,OB,36,3709,77.1
41X_OB_EXTRA,OB,37,3710,77.91
